"STATISTIC","Statistic Label","TLIST(A1)","Year","C03803V04563","NACE Sector of Payee","UNIT","VALUE"
"ETA07C01","Pollution and Resource Taxes","2018","2018","34","Information and computing (62-63)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","35","Rental and leasing (77)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2018","2018","36","Public administration (84)","€m","3"
"ETA07C01","Pollution and Resource Taxes","2018","2018","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","3"
"ETA07C01","Pollution and Resource Taxes","2018","2018","04","Households and non-residents","€m","15"
"ETA07C01","Pollution and Resource Taxes","2019","2019","01","Agriculture, forestry and fishing (01-03)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","02","Industry (05-43)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2019","2019","21","Mining and quarrying (05-09)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","22","Food, beverages and tobacco (10-12)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","23","Textiles and pharmaceuticals (13-21)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","24","Plastic and non-metallic minerals (22-23)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","25","Metals, machinery and equipment (24-33)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","26","Electricity and gas (35)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","27","Water and Waste (36-39)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","28","Construction (41-43)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","03","Services (45-96)","€m","7"
"ETA07C01","Pollution and Resource Taxes","2019","2019","31","Wholesale and retail trade (45-47)","€m","2"
"ETA07C01","Pollution and Resource Taxes","2019","2019","32","Transport, postal and warehousing (49-53)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","33","Accommodation and food (55-56)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","34","Information and computing (62-63)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","35","Rental and leasing (77)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2019","2019","36","Public administration (84)","€m","3"
"ETA07C01","Pollution and Resource Taxes","2019","2019","37","Other services (58-61, 64-66, 68-75, 78-82, 85-88, 90-96)","€m","1"
"ETA07C01","Pollution and Resource Taxes","2019","2019","04","Households and non-residents","€m","11"
"ETA07C01","Pollution and Resource Taxes","2020","2020","01","Agriculture, forestry and fishing (01-03)","€m","0"
"ETA07C01","Pollution and Resource Taxes","2020","2020","02","Industry (05-43)","€m","0"
